game_pk,status,away_team,home_team,away_pitcher,home_pitcher,away_strikeouts,home_strikeouts,winning_pitcher,losing_pitcher
824255,Scheduled,Houston Astros,Detroit Tigers,Spencer Arrighetti,Keider Montero,,,,
823363,Scheduled,Cincinnati Reds,Pittsburgh Pirates,Andrew Abbott,Paul Skenes,,,,
824824,Scheduled,Washington Nationals,Baltimore Orioles,Andrew Alvarez,Trevor Rogers,,,,
822796,Scheduled,Texas Rangers,Toronto Blue Jays,Nathan Eovaldi,Patrick Corbin,,,,
824423,Scheduled,Seattle Mariners,Cleveland Guardians,Luis Castillo,Joey Cantillo,,,,
822962,Scheduled,Arizona Diamondbacks,Tampa Bay Rays,Zac Gallen,Nick Martinez,,,,
823610,Scheduled,Philadelphia Phillies,New York Mets,Zack Wheeler,TBD,,,,
824743,Scheduled,New York Yankees,Boston Red Sox,Will Warren,Payton Tolle,,,,
824582,Scheduled,Kansas City Royals,Chicago White Sox,TBD,TBD,,,,
823773,Scheduled,Chicago Cubs,Milwaukee Brewers,Colin Rea,Jacob Misiorowski,,,,
823688,Scheduled,Colorado Rockies,Minnesota Twins,Tomoyuki Sugano,Taj Bradley,,,,
823039,Scheduled,Miami Marlins,St. Louis Cardinals,Max Meyer,Michael McGreevy,,,,
824014,Scheduled,Athletics,Los Angeles Angels,J.T. Ginn,Walbert Ureña,,,,
823285,Scheduled,Los Angeles Dodgers,San Diego Padres,Roki Sasaki,Walker Buehler,,,,
823206,Scheduled,Atlanta Braves,San Francisco Giants,Reynaldo López,TBD,,,,
