p_rank,pitcher_type,b_rank,batter_type,pitcher_cluster,batter_cluster,n_pa,k_pct,bb_pct,hr_pct,hit_pct,xbh_pct,ab,ba,slg,obp
4,wild / ground-ball,0,contact / zone-contact,0,0,8660,0.1703,0.1039,0.0177,0.2094,0.0572,7543,0.2404,0.3504,0.3288
4,wild / ground-ball,5,barrels/power / hard-contact,0,1,5813,0.2589,0.1438,0.0406,0.2116,0.0834,4826,0.2549,0.4579,0.3772
4,wild / ground-ball,3,high-K / zone-whiff,0,2,7892,0.3231,0.1072,0.0271,0.1751,0.0626,6831,0.2023,0.3405,0.3007
4,wild / ground-ball,2,fly-ball/lift / disciplined,0,3,6784,0.2077,0.1315,0.0243,0.1884,0.0674,5707,0.2239,0.3652,0.339
4,wild / ground-ball,1,chaser,0,4,10671,0.2538,0.0824,0.0306,0.2152,0.0772,9534,0.2408,0.3997,0.3148
4,wild / ground-ball,6,speed / ground-ball,0,5,5396,0.2302,0.0958,0.0198,0.2122,0.0606,4733,0.2419,0.3626,0.3258
4,wild / ground-ball,4,chaser / aggressive,0,6,4948,0.191,0.0635,0.0198,0.2195,0.0602,4500,0.2413,0.3536,0.2989
3,low-whiff / pitch-to-contact,0,contact / zone-contact,1,0,8935,0.1273,0.0678,0.0219,0.245,0.0752,8144,0.2688,0.4037,0.3237
3,low-whiff / pitch-to-contact,5,barrels/power / hard-contact,1,1,6211,0.1921,0.1087,0.0625,0.2484,0.1119,5402,0.2856,0.562,0.3718
3,low-whiff / pitch-to-contact,3,high-K / zone-whiff,1,2,7832,0.239,0.0804,0.047,0.2205,0.097,7058,0.2447,0.4609,0.3116
3,low-whiff / pitch-to-contact,2,fly-ball/lift / disciplined,1,3,7045,0.1644,0.095,0.0378,0.2282,0.0894,6240,0.2577,0.4465,0.3339
3,low-whiff / pitch-to-contact,1,chaser,1,4,11163,0.1833,0.058,0.0434,0.2538,0.0995,10300,0.275,0.4811,0.323
3,low-whiff / pitch-to-contact,6,speed / ground-ball,1,5,5635,0.1654,0.066,0.027,0.2449,0.0836,5132,0.2689,0.4277,0.3231
3,low-whiff / pitch-to-contact,4,chaser / aggressive,1,6,5304,0.1271,0.0385,0.0273,0.2502,0.0781,4988,0.266,0.4126,0.2995
2,chase-inducing / swing-and-miss,0,contact / zone-contact,2,0,6429,0.2005,0.0593,0.0198,0.2196,0.0613,5895,0.2395,0.3539,0.2929
2,chase-inducing / swing-and-miss,5,barrels/power / hard-contact,2,1,4299,0.3017,0.0947,0.0537,0.2145,0.0986,3814,0.2417,0.4777,0.3212
2,chase-inducing / swing-and-miss,3,high-K / zone-whiff,2,2,6042,0.3547,0.071,0.0362,0.1768,0.0753,5514,0.1937,0.3582,0.2577
2,chase-inducing / swing-and-miss,2,fly-ball/lift / disciplined,2,3,5041,0.2587,0.0837,0.0294,0.1902,0.0728,4522,0.2121,0.3636,0.286
2,chase-inducing / swing-and-miss,1,chaser,2,4,7785,0.29,0.0529,0.0343,0.1997,0.0791,7218,0.2154,0.3785,0.265
2,chase-inducing / swing-and-miss,6,speed / ground-ball,2,5,4173,0.2571,0.0592,0.022,0.2159,0.074,3845,0.2343,0.3706,0.2883
2,chase-inducing / swing-and-miss,4,chaser / aggressive,2,6,3874,0.2155,0.0356,0.0214,0.2086,0.07,3652,0.2212,0.3434,0.2562
1,hittable / fly-ball,0,contact / zone-contact,3,0,10265,0.171,0.0771,0.0201,0.2208,0.0626,9245,0.2451,0.3626,0.3088
1,hittable / fly-ball,5,barrels/power / hard-contact,3,1,7151,0.2485,0.118,0.0565,0.2295,0.1019,6137,0.2674,0.5224,0.3643
1,hittable / fly-ball,3,high-K / zone-whiff,3,2,9171,0.3095,0.0837,0.0427,0.1941,0.0884,8226,0.2164,0.4126,0.2904
1,hittable / fly-ball,2,fly-ball/lift / disciplined,3,3,8308,0.2015,0.1057,0.0348,0.2058,0.0766,7257,0.2356,0.4064,0.324
1,hittable / fly-ball,1,chaser,3,4,13444,0.2416,0.0637,0.0406,0.226,0.0907,12332,0.2464,0.4379,0.3001
1,hittable / fly-ball,6,speed / ground-ball,3,5,6331,0.2216,0.069,0.0248,0.223,0.0719,5765,0.2449,0.3827,0.3032
1,hittable / fly-ball,4,chaser / aggressive,3,6,6104,0.1873,0.0465,0.0288,0.2271,0.0808,5698,0.2432,0.3945,0.2845
5,strikeout / power-velo,0,contact / zone-contact,4,0,6139,0.2079,0.0676,0.0137,0.2049,0.05,5586,0.2252,0.3119,0.2861
5,strikeout / power-velo,5,barrels/power / hard-contact,4,1,4174,0.3112,0.0922,0.0304,0.1965,0.0724,3693,0.222,0.3761,0.307
5,strikeout / power-velo,3,high-K / zone-whiff,4,2,5628,0.3737,0.0744,0.0275,0.1715,0.0665,5083,0.1898,0.326,0.2597
5,strikeout / power-velo,2,fly-ball/lift / disciplined,4,3,4741,0.2527,0.0842,0.0169,0.1922,0.058,4243,0.2147,0.3208,0.29
5,strikeout / power-velo,1,chaser,4,4,7615,0.2989,0.0596,0.0226,0.2014,0.0654,7027,0.2183,0.341,0.2731
5,strikeout / power-velo,6,speed / ground-ball,4,5,3878,0.2862,0.0614,0.0108,0.1939,0.0516,3556,0.2115,0.2972,0.2681
5,strikeout / power-velo,4,chaser / aggressive,4,6,3765,0.2324,0.0382,0.0146,0.2215,0.0587,3539,0.2357,0.3323,0.2734
0,low-whiff / barrel-suppressing,0,contact / zone-contact,5,0,12216,0.1424,0.0648,0.0156,0.2331,0.0616,11112,0.2562,0.3629,0.3118
0,low-whiff / barrel-suppressing,5,barrels/power / hard-contact,5,1,8209,0.23,0.0973,0.0404,0.2335,0.0915,7224,0.2654,0.4658,0.3471
0,low-whiff / barrel-suppressing,3,high-K / zone-whiff,5,2,10796,0.261,0.0738,0.0333,0.2084,0.0747,9782,0.23,0.3899,0.2943
0,low-whiff / barrel-suppressing,2,fly-ball/lift / disciplined,5,3,9239,0.1806,0.0925,0.0255,0.2208,0.0714,8173,0.2496,0.3912,0.327
0,low-whiff / barrel-suppressing,1,chaser,5,4,14673,0.2079,0.0581,0.0321,0.2355,0.0813,13532,0.2554,0.4181,0.3063
0,low-whiff / barrel-suppressing,6,speed / ground-ball,5,5,7730,0.1856,0.0585,0.0211,0.2347,0.0713,7125,0.2546,0.3848,0.3061
0,low-whiff / barrel-suppressing,4,chaser / aggressive,5,6,7172,0.1461,0.0407,0.0236,0.245,0.0673,6717,0.2616,0.3877,0.2987
