pitcher,name,starts,bf,k_per_pa,proj_mean_k,p_ge_4,p_ge_5,p_ge_6,p_ge_7,p_ge_8,p_ge_9,fair_4plus,fair_5plus,fair_6plus,fair_7plus,fair_8plus,fair_9plus
519242,"Sale, Chris",63,25,0.2987,7.47,0.9658,0.9073,0.8027,0.6542,0.4825,0.3179,1.04,1.1,1.25,1.53,2.07,3.15
676979,"Crochet, Garrett",68,24,0.3073,7.37,0.9638,0.9025,0.7937,0.6409,0.4665,0.3022,1.04,1.11,1.26,1.56,2.14,3.31
554430,"Wheeler, Zack",65,25,0.2852,7.13,0.9537,0.8812,0.7597,0.5981,0.423,0.2658,1.05,1.13,1.32,1.67,2.36,3.76
669373,"Skubal, Tarik",70,24,0.2959,7.1,0.9537,0.8807,0.758,0.5946,0.418,0.2603,1.05,1.14,1.32,1.68,2.39,3.84
607192,"Glasnow, Tyler",45,24,0.2911,6.99,0.9488,0.8704,0.7416,0.5742,0.3974,0.2432,1.05,1.15,1.35,1.74,2.52,4.11
694819,"Misiorowski, Jacob",28,22,0.3171,6.98,0.9512,0.8741,0.7451,0.5754,0.3953,0.2385,1.05,1.14,1.34,1.74,2.53,4.19
666142,"Ragans, Cole",52,23,0.2993,6.88,0.9454,0.8628,0.7288,0.5571,0.379,0.2268,1.06,1.16,1.37,1.8,2.64,4.41
656302,"Cease, Dylan",76,23,0.2947,6.78,0.9401,0.8522,0.7126,0.5377,0.3603,0.212,1.06,1.17,1.4,1.86,2.78,4.72
694973,"Skenes, Paul",68,23,0.2944,6.77,0.9397,0.8514,0.7115,0.5364,0.359,0.211,1.06,1.17,1.41,1.86,2.79,4.74
668881,"Greene, Hunter",44,24,0.2763,6.63,0.9305,0.8343,0.6874,0.5098,0.3354,0.1941,1.07,1.2,1.45,1.96,2.98,5.15
669302,"Gilbert, Logan",71,24,0.2759,6.62,0.93,0.8334,0.6861,0.5083,0.3341,0.193,1.08,1.2,1.46,1.97,2.99,5.18
695505,"Burns, Chase",19,23,0.2826,6.5,0.9241,0.8215,0.6679,0.4863,0.3126,0.1757,1.08,1.22,1.5,2.06,3.2,5.69
808967,"Yamamoto, Yoshinobu",58,24,0.27,6.48,0.9214,0.8171,0.6628,0.4821,0.3102,0.1751,1.09,1.22,1.51,2.07,3.22,5.71
605483,"Snell, Blake",31,22,0.2916,6.42,0.9205,0.8138,0.6556,0.4711,0.2975,0.1635,1.09,1.23,1.53,2.12,3.36,6.12
657746,"Ryan, Joe",67,24,0.2677,6.42,0.9177,0.8103,0.6533,0.4716,0.3009,0.1682,1.09,1.23,1.53,2.12,3.32,5.95
672282,"Detmers, Reid",31,23,0.2751,6.33,0.9126,0.8003,0.6383,0.4539,0.2839,0.155,1.1,1.25,1.57,2.2,3.52,6.45
543243,"Gray, Sonny",71,24,0.2626,6.3,0.9092,0.795,0.6324,0.449,0.281,0.1539,1.1,1.26,1.58,2.23,3.56,6.5
650911,"Sánchez, Cristopher",77,26,0.2411,6.27,0.9037,0.7869,0.6236,0.442,0.2772,0.1529,1.11,1.27,1.6,2.26,3.61,6.54
607074,"Rodón, Carlos",71,24,0.2539,6.09,0.8929,0.7667,0.595,0.4099,0.248,0.1309,1.12,1.3,1.68,2.44,4.03,7.64
680885,"Schwellenbach, Spencer",38,25,0.2438,6.09,0.8914,0.765,0.5939,0.41,0.2491,0.1325,1.12,1.31,1.68,2.44,4.01,7.55
690997,"McLean, Nolan",22,23,0.2628,6.05,0.8906,0.7619,0.5875,0.4009,0.2394,0.1242,1.12,1.31,1.7,2.49,4.18,8.05
686613,"Brown, Hunter",64,23,0.262,6.03,0.889,0.7592,0.584,0.3975,0.2366,0.1223,1.12,1.32,1.71,2.52,4.23,8.18
642547,"Peralta, Freddy",79,23,0.2619,6.02,0.8887,0.7587,0.5834,0.3968,0.2361,0.122,1.13,1.32,1.71,2.52,4.24,8.2
693645,"Schlittler, Cam",29,23,0.2602,5.98,0.8853,0.753,0.5761,0.3896,0.2302,0.1181,1.13,1.33,1.74,2.57,4.34,8.47
656427,"Flaherty, Jack",74,22,0.2719,5.98,0.8869,0.7547,0.5769,0.3888,0.2283,0.1159,1.13,1.33,1.73,2.57,4.38,8.63
663460,"Bubic, Kris",29,24,0.2475,5.94,0.8797,0.7446,0.5669,0.3817,0.225,0.1155,1.14,1.34,1.76,2.62,4.44,8.66
657277,"Webb, Logan",79,26,0.2285,5.94,0.8767,0.7413,0.5648,0.3819,0.2272,0.1183,1.14,1.35,1.77,2.62,4.4,8.45
601713,"Pivetta, Nick",61,22,0.2689,5.92,0.8809,0.7447,0.5643,0.3764,0.2185,0.1095,1.14,1.34,1.77,2.66,4.58,9.13
594798,"deGrom, Jacob",47,22,0.2683,5.9,0.8799,0.7429,0.5621,0.3743,0.2168,0.1084,1.14,1.35,1.78,2.67,4.61,9.22
657006,"Steele, Justin",27,25,0.2337,5.84,0.869,0.7281,0.5476,0.364,0.212,0.1077,1.15,1.37,1.83,2.75,4.72,9.28
666200,"Luzardo, Jesús",58,23,0.2536,5.83,0.8714,0.7301,0.5476,0.3616,0.2081,0.1038,1.15,1.37,1.83,2.77,4.81,9.64
693433,"Woo, Bryan",66,24,0.2427,5.82,0.8687,0.7267,0.5448,0.3602,0.2081,0.1045,1.15,1.38,1.84,2.78,4.81,9.57
669022,"Gore, MacKenzie",75,23,0.252,5.8,0.8677,0.7242,0.5404,0.3547,0.2028,0.1004,1.15,1.38,1.85,2.82,4.93,9.96
680570,"Rodriguez, Grayson",26,24,0.2413,5.79,0.8655,0.7217,0.5387,0.3543,0.2035,0.1016,1.16,1.39,1.86,2.82,4.91,9.84
543135,"Eovaldi, Nathan",64,24,0.2396,5.75,0.8614,0.7152,0.5308,0.3469,0.1978,0.098,1.16,1.4,1.88,2.88,5.06,10.21
669203,"Burnes, Corbin",43,25,0.2301,5.75,0.8599,0.7137,0.5302,0.3474,0.1991,0.0995,1.16,1.4,1.89,2.88,5.02,10.06
656731,"Megill, Tylor",29,22,0.2615,5.75,0.8651,0.7191,0.5329,0.3462,0.1951,0.0948,1.16,1.39,1.88,2.89,5.13,10.55
624133,"Suarez, Ranger",65,25,0.2301,5.75,0.8601,0.714,0.5305,0.3477,0.1994,0.0996,1.16,1.4,1.88,2.88,5.02,10.04
650633,"King, Michael",59,23,0.2496,5.74,0.8621,0.7153,0.5297,0.3446,0.195,0.0955,1.16,1.4,1.89,2.9,5.13,10.47
669854,"Blanco, Ronel",38,24,0.2391,5.74,0.86,0.713,0.5282,0.3444,0.1959,0.0968,1.16,1.4,1.89,2.9,5.1,10.33
668909,"Williams, Gavin",60,23,0.2486,5.72,0.8597,0.7115,0.5252,0.3403,0.1918,0.0935,1.16,1.41,1.9,2.94,5.21,10.69
608331,"Fried, Max",70,25,0.2283,5.71,0.8553,0.7065,0.5217,0.3394,0.193,0.0956,1.17,1.42,1.92,2.95,5.18,10.46
683003,"Jones, Jared",25,23,0.2467,5.67,0.8552,0.7044,0.5168,0.3325,0.1859,0.0899,1.17,1.42,1.93,3.01,5.38,11.13
660271,"Ohtani, Shohei",20,21,0.2694,5.66,0.8575,0.7057,0.5155,0.3284,0.1805,0.085,1.17,1.42,1.94,3.05,5.54,11.76
666157,"Lodolo, Nick",55,24,0.2349,5.64,0.8495,0.6966,0.5089,0.3264,0.1823,0.0883,1.18,1.44,1.97,3.06,5.48,11.32
605400,"Nola, Aaron",64,24,0.2344,5.63,0.8483,0.6948,0.5068,0.3245,0.1809,0.0875,1.18,1.44,1.97,3.08,5.53,11.43
579328,"Kikuchi, Yusei",71,23,0.245,5.63,0.8508,0.6977,0.509,0.3253,0.1805,0.0866,1.18,1.43,1.96,3.07,5.54,11.55
641154,"López, Pablo",46,23,0.2438,5.61,0.8479,0.6932,0.5037,0.3204,0.1769,0.0844,1.18,1.44,1.99,3.12,5.65,11.85
669923,"Kirby, George",70,24,0.2335,5.61,0.8459,0.6912,0.5026,0.3206,0.1781,0.0857,1.18,1.45,1.99,3.12,5.62,11.66
664285,"Valdez, Framber",73,25,0.2239,5.6,0.8435,0.6884,0.5005,0.3198,0.1783,0.0865,1.19,1.45,2.0,3.13,5.61,11.57
592662,"Ray, Robbie",52,23,0.2431,5.59,0.8462,0.6906,0.5007,0.3177,0.1749,0.0832,1.18,1.45,2.0,3.15,5.72,12.02
681293,"Arrighetti, Spencer",45,23,0.2419,5.56,0.843,0.6857,0.495,0.3125,0.1712,0.0809,1.19,1.46,2.02,3.2,5.84,12.35
686218,"Sheehan, Emmet",26,21,0.265,5.56,0.8472,0.6898,0.4968,0.3114,0.1681,0.0777,1.18,1.45,2.01,3.21,5.95,12.87
684007,"Imanaga, Shota",68,24,0.2311,5.55,0.8394,0.6813,0.4913,0.3103,0.1705,0.0811,1.19,1.47,2.04,3.22,5.87,12.32
625643,"López, Reynaldo",29,23,0.2407,5.54,0.8399,0.6811,0.4898,0.3078,0.1677,0.0789,1.19,1.47,2.04,3.25,5.96,12.68
592332,"Gausman, Kevin",77,24,0.2307,5.54,0.8383,0.6797,0.4894,0.3086,0.1692,0.0804,1.19,1.47,2.04,3.24,5.91,12.44
800048,"Messick, Parker",21,23,0.241,5.54,0.8407,0.6823,0.4911,0.309,0.1686,0.0794,1.19,1.47,2.04,3.24,5.93,12.59
680694,"Bradish, Kyle",28,21,0.2631,5.52,0.8426,0.6828,0.4889,0.3042,0.1629,0.0747,1.19,1.46,2.05,3.29,6.14,13.39
676440,"Bibee, Tanner",77,24,0.2299,5.52,0.8359,0.6761,0.4853,0.305,0.1666,0.0788,1.2,1.48,2.06,3.28,6.0,12.69
687888,"Walter, Brandon",9,23,0.2393,5.5,0.8363,0.6756,0.4835,0.3022,0.1637,0.0765,1.2,1.48,2.07,3.31,6.11,13.07
643377,"Jax, Griffin",6,19,0.2889,5.49,0.8434,0.6811,0.4832,0.2957,0.1542,0.068,1.19,1.47,2.07,3.38,6.48,14.71
671737,"Bradley, Taj",65,23,0.2386,5.49,0.8342,0.6725,0.48,0.2991,0.1614,0.0752,1.2,1.49,2.08,3.34,6.19,13.3
543037,"Cole, Gerrit",21,23,0.2373,5.46,0.8308,0.6675,0.4744,0.2941,0.1579,0.0731,1.2,1.5,2.11,3.4,6.33,13.68
686752,"Pepiot, Ryan",56,22,0.2474,5.44,0.8308,0.6664,0.4718,0.2906,0.1544,0.0705,1.2,1.5,2.12,3.44,6.48,14.19
