player_id,name,season,pa,k_percent,bb_percent,whiff_percent,swing_percent,oz_swing_percent,fastball_avg_speed,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,hard_hit_percent,groundballs_percent
691587,"Pérez, Eury",2026,265.0,27.2,10.6,29.1,50.5,31.5,98.1,89.1,21.5,15.0,42.5,33.8
571578,"Corbin, Patrick",2026,252.0,15.9,7.9,20.4,48.3,30.3,89.6,89.0,14.3,8.1,43.9,41.2
696149,"Chandler, Bubba",2026,301.0,22.6,13.6,24.7,48.1,30.5,98.3,89.7,19.2,7.4,36.0,34.9
656492,"Griffin, Foster",2026,321.0,23.1,6.5,24.1,46.6,29.9,89.5,88.3,13.2,11.8,38.6,44.1
669467,"Pallante, Andre",2026,298.0,18.8,8.4,22.8,44.5,27.0,95.1,87.9,7.2,6.7,35.8,52.4
690997,"McLean, Nolan",2026,317.0,27.8,9.8,24.5,42.8,27.5,94.8,86.6,8.6,6.3,36.3,46.8
693433,"Woo, Bryan",2026,329.0,24.0,4.6,24.2,54.0,34.5,95.6,89.6,19.0,7.3,44.4,36.2
669372,"Ginn, J.T.",2026,290.0,22.4,10.3,27.2,46.0,30.0,93.2,88.3,9.1,6.3,37.7,48.7
607067,"Rea, Colin",2026,304.0,17.8,8.2,21.1,47.3,31.6,92.8,90.9,12.7,12.7,43.9,44.3
813349,"Early, Connelly",2026,300.0,23.0,9.0,23.1,46.9,32.5,93.3,90.7,13.6,11.6,42.9,40.9
547179,"Lorenzen, Michael",2026,320.0,17.2,7.5,20.8,45.0,25.8,93.0,89.6,10.7,9.3,45.0,45.4
700712,"Ureña, Walbert",2026,242.0,22.7,13.6,28.1,43.0,30.6,97.6,87.2,8.0,6.0,32.5,51.0
694738,"Roupp, Landen",2026,313.0,26.2,10.2,26.2,42.3,29.5,92.0,87.5,9.7,3.6,29.9,50.8
681190,"Vásquez, Randy",2026,313.0,18.5,7.0,21.8,49.5,29.2,93.2,91.3,17.9,13.0,46.1,35.7
676083,"Junk, Janson",2026,255.0,16.9,5.1,18.0,49.5,28.5,94.2,89.9,14.4,6.6,41.6,45.2
592791,"Taillon, Jameson",2026,287.0,20.6,8.0,26.4,46.6,31.0,89.9,88.5,18.0,14.3,38.4,35.0
527048,"Pérez, Martín",2026,245.0,20.8,8.6,22.5,43.6,27.1,88.3,88.3,8.9,7.1,38.0,47.4
656302,"Cease, Dylan",2026,280.0,36.8,9.6,38.0,46.5,32.2,97.5,86.9,12.0,5.5,37.4,46.3
663436,"Martin, Davis",2026,313.0,25.2,5.4,27.6,49.6,34.9,92.7,90.2,11.1,6.2,46.5,43.7
641743,"Kay, Anthony",2026,301.0,17.6,9.0,21.9,45.4,32.4,94.2,89.8,11.6,9.8,41.6,45.5
656849,"Peterson, David",2026,286.0,19.9,9.1,22.3,46.4,31.6,92.1,89.6,7.3,7.1,43.5,53.0
663903,"Singer, Brady",2026,282.0,16.7,7.1,22.2,44.0,27.6,90.6,91.4,14.1,11.8,42.5,41.5
668909,"Williams, Gavin",2026,345.0,28.7,8.1,30.5,48.6,33.9,95.7,91.1,9.7,12.9,48.6,46.8
543243,"Gray, Sonny",2026,256.0,19.9,6.3,22.1,47.0,31.5,90.8,88.4,9.7,7.7,35.5,48.4
657277,"Webb, Logan",2026,278.0,20.9,6.8,21.0,47.2,33.0,92.0,90.6,2.0,6.2,46.4,58.2
622663,"Severino, Luis",2026,271.0,24.0,11.4,23.0,47.6,31.3,95.9,88.8,11.6,8.7,38.7,45.1
669387,"Mlodzinski, Carmen",2026,270.0,19.3,8.5,21.3,44.0,28.3,94.6,91.8,14.5,7.8,50.5,42.7
605288,"Houser, Adrian",2026,296.0,15.5,8.1,19.5,44.6,25.0,94.9,90.9,11.8,9.9,44.1,43.2
681517,"Leahy, Kyle",2026,291.0,17.9,8.6,22.1,44.9,25.9,93.8,92.2,8.9,12.0,50.2,43.5
671737,"Bradley, Taj",2026,284.0,25.7,10.2,27.1,46.0,28.6,94.4,91.9,16.4,10.6,47.2,33.3
686799,"Kochanowicz, Jack",2026,296.0,15.9,12.2,23.6,45.2,25.6,95.9,89.4,4.7,7.4,42.8,57.2
677952,"Ashcraft, Braxton",2026,344.0,26.2,5.5,27.4,51.7,36.0,96.9,89.9,13.3,5.7,38.9,46.7
677944,"Cecconi, Slade",2026,316.0,19.3,7.3,21.7,47.0,27.8,91.4,88.0,13.0,7.9,36.2,45.9
650911,"Sánchez, Cristopher",2026,375.0,30.1,4.8,33.0,50.7,38.3,95.1,89.1,1.4,8.6,43.2,58.4
680736,"Wrobleski, Justin",2026,295.0,15.3,5.4,17.3,49.0,29.1,93.9,90.0,15.2,7.8,42.7,38.8
687064,"Young, Brandon",2026,239.0,17.6,7.9,21.9,50.2,35.4,93.9,89.8,14.8,8.0,43.8,40.3
669432,"Rogers, Trevor",2026,266.0,16.5,7.5,21.5,51.7,33.8,91.3,89.6,19.4,7.5,39.8,35.3
680573,"Woods Richardson, Simeon",2026,240.0,12.1,10.4,18.8,43.9,22.4,92.7,90.6,18.1,8.2,45.1,40.2
669022,"Gore, MacKenzie",2026,309.0,24.6,10.7,25.4,48.0,30.4,94.6,89.7,15.9,8.6,44.4,37.4
693645,"Schlittler, Cam",2026,346.0,27.7,5.2,27.3,53.9,35.5,96.6,88.0,11.8,6.5,39.8,45.5
641816,"Mahle, Tyler",2026,249.0,22.9,9.6,19.9,43.7,28.2,91.2,89.1,12.6,8.4,35.7,44.6
641793,"Littell, Zack",2026,288.0,13.5,7.3,15.5,49.5,28.3,91.4,92.5,19.4,11.1,45.6,34.5
676440,"Bibee, Tanner",2026,342.0,20.8,7.6,27.0,46.8,26.0,91.1,90.6,16.1,10.3,45.1,39.3
665795,"Cabrera, Edward",2026,269.0,21.6,8.6,27.1,48.4,33.3,96.1,91.4,11.8,13.0,42.5,45.2
663567,"Lambert, Peter",2026,238.0,22.3,10.5,25.4,48.2,28.7,93.7,88.5,15.5,7.1,41.0,42.9
645261,"Alcantara, Sandy",2026,404.0,17.6,5.7,21.0,51.2,31.5,95.7,88.6,11.1,6.6,37.5,45.1
800048,"Messick, Parker",2026,320.0,25.6,7.8,27.1,48.8,32.4,92.8,87.5,15.0,6.1,34.0,42.5
656605,"Keller, Mitch",2026,329.0,17.6,8.2,20.1,47.8,29.2,92.7,88.4,12.9,6.8,39.9,40.3
669160,"May, Dustin",2026,301.0,21.9,6.6,21.2,47.5,30.9,95.6,90.2,11.3,6.7,47.4,45.5
680694,"Bradish, Kyle",2026,323.0,22.6,12.1,25.3,44.3,30.6,94.4,88.2,8.1,10.6,37.1,51.4
605400,"Nola, Aaron",2026,309.0,23.0,7.8,25.0,45.6,32.2,90.8,88.2,13.2,9.3,38.8,42.5
691725,"Painter, Andrew",2026,285.0,17.5,7.7,22.1,48.3,32.3,96.2,87.2,16.1,9.0,34.8,40.0
605280,"Holmes, Clay",2026,215.0,20.9,8.4,21.9,47.3,32.9,93.1,89.8,5.1,5.3,44.0,55.3
700241,"McGreevy, Michael",2026,285.0,17.2,6.0,19.9,45.2,28.5,90.1,89.2,10.6,10.1,40.6,45.7
681293,"Arrighetti, Spencer",2026,243.0,21.8,12.8,25.6,42.6,26.9,92.0,87.2,16.6,6.0,29.5,40.3
605488,"Springs, Jeffrey",2026,320.0,19.7,7.2,21.9,46.7,31.2,91.3,87.8,16.2,9.5,36.6,36.2
607259,"Martinez, Nick",2026,318.0,13.8,4.1,18.2,49.9,31.6,91.5,86.8,15.5,6.6,31.7,37.5
624133,"Suarez, Ranger",2026,286.0,24.5,7.3,23.6,46.1,31.9,90.2,87.0,15.0,6.2,32.6,39.4
621111,"Buehler, Walker",2026,266.0,19.9,8.3,19.0,44.2,26.9,92.5,90.5,9.7,8.0,41.0,47.3
801139,"Tolle, Payton",2026,215.0,25.1,6.5,25.6,55.5,35.3,94.4,87.3,19.4,4.9,32.4,35.2
