date,pitcher,line,side,odds,result,profit
2026-06-07,Jack Flaherty,5.5,under,114,Win,114.00
2026-06-07,Bubba Chandler,4.5,under,107,Loss,-100.00
2026-06-07,Luis Castillo,4.5,over,102,Win,102.00
2026-06-07,Sandy Alcantara,4.5,under,-110,Loss,-100.00
2026-06-07,Mike Burrows,4.5,under,-122,Win,81.97
2026-06-07,José Soriano,4.5,under,-128,Win,78.13
2026-06-07,Joey Cantillo,4.5,under,-134,Win,74.63
2026-06-07,Bryce Elder,4.5,under,-142,Win,70.42
2026-06-07,Shane Baz,4.5,over,-118,Loss,-100.00
2026-06-07,Kevin Gausman,5.5,under,-110,Loss,-100.00
2026-06-07,Jacob deGrom,6.5,over,-110,Void,0.00
2026-06-08,Patrick Corbin,3.5,under,126,Win,126.00
2026-06-08,Kyle Harrison,6.5,under,119,Win,119.00
2026-06-08,Spencer Arrighetti,5.5,over,108,Win,108.00
2026-06-08,Cristopher Sánchez,6.5,over,108,Win,108.00
2026-06-08,Will Warren,4.5,over,108,Win,108.00
2026-06-08,Walker Buehler,4.5,over,105,Loss,-100.00
2026-06-08,Miles Mikolas,3.5,over,135,Loss,-100.00
2026-06-08,Gavin Williams,6.5,over,-144,Loss,-100.00
2026-06-08,Emerson Hancock,4.5,over,-146,Loss,-100.00
2026-06-08,Andrew Abbott,4.5,under,-130,Loss,-100.00
2026-06-08,Connelly Early,4.5,under,121,Loss,-100.00
2026-06-08,Logan Webb,5.5,under,-147,Loss,-100.00
2026-06-09,Zac Gallen,4.5,under,-125,Win,80.00
2026-06-09,Colin Rea,3.5,over,-140,Loss,-100.00
2026-06-09,Trevor Rogers,4.5,under,106,Win,106.00
2026-06-09,Dylan Cease,6.5,over,-127,Win,78.74
2026-06-09,Walbert Ureña,4.5,over,126,Win,126.00
2026-06-09,Zack Wheeler,5.5,under,108,Win,108.00
2026-06-09,Paul Skenes,6.5,under,-121,Loss,-100.00
2026-06-09,J.T. Ginn,4.5,over,118,Win,118.00
2026-06-09,Chase Burns,6.5,over,-101,Win,99.01
2026-06-09,Nathan Eovaldi,5.5,over,122,Loss,-100.00
2026-06-09,Taj Bradley,5.5,over,-178,Loss,-100.00
2026-06-09,Tomoyuki Sugano,2.5,under,136,Loss,-100.00
2026-06-09,Freddy Peralta,5.5,over,109,Loss,-100.00
2026-06-09,Stephen Kolek,3.5,over,-155,Loss,-100.00
2026-06-09,Nick Martinez,3.5,under,105,Win,105.00
2026-06-09,Payton Tolle,5.5,under,106,Win,106.00
