date,pitcher,line,over_odds,under_odds
2026-06-07,Jack Flaherty,5.5,,114
2026-06-07,Bubba Chandler,4.5,,107
2026-06-07,Luis Castillo,4.5,102,
2026-06-07,Sandy Alcantara,4.5,,-110
2026-06-07,Mike Burrows,4.5,,-122
2026-06-07,José Soriano,4.5,,-128
2026-06-07,Joey Cantillo,4.5,,-134
2026-06-07,Bryce Elder,4.5,,-142
2026-06-07,Shane Baz,4.5,-118,
2026-06-07,Kevin Gausman,5.5,,-110
2026-06-07,Jacob deGrom,6.5,-110,
2026-06-08,Miles Mikolas,3.5,135,
2026-06-08,Will Warren,4.5,108,
2026-06-08,Emerson Hancock,4.5,-146,
2026-06-08,Patrick Corbin,3.5,,126
2026-06-08,Andrew Abbott,4.5,,-130
2026-06-08,Connelly Early,4.5,,121
2026-06-08,Kyle Harrison,6.5,,119
2026-06-08,Gavin Williams,6.5,-144,
2026-06-08,Spencer Arrighetti,5.5,108,
2026-06-08,Cristopher Sánchez,6.5,108,
2026-06-08,Walker Buehler,4.5,105,
2026-06-08,Logan Webb,5.5,,-147
2026-06-09,669302,6.5,101,-128
2026-06-09,669432,4.5,-135,106
2026-06-09,676974,5.5,-122,-105
2026-06-09,668678,4.5,-102,-125
2026-06-09,801139,5.5,-135,106
2026-06-09,607259,3.5,-134,105
2026-06-09,677944,4.5,118,-144
2026-06-09,543037,5.5,130,-160
2026-06-09,671737,5.5,-128,100
2026-06-09,675512,4.5,105,-134
2026-06-09,694973,6.5,-105,-121
2026-06-09,641778,4.5,123,-157
2026-06-09,656302,6.5,-127,-101
2026-06-09,554430,5.5,-138,108
2026-06-09,642547,5.5,-150,118
2026-06-09,669160,4.5,-153,120
2026-06-09,656550,4.5,-120,-106
2026-06-09,543135,5.5,122,-156
2026-06-09,663568,3.5,-155,121
2026-06-09,607067,3.5,-140,110
2026-06-09,608372,2.5,-174,136
2026-06-09,700712,4.5,126,-154
2026-06-09,695505,6.5,-101,-126
2026-06-09,608337,4.5,-103,-124
2026-06-09,674841,4.5,105,-134
2026-06-09,605288,3.5,101,-129
2026-06-09,688107,4.5,107,-136
2026-06-09,669372,4.5,118,-150
