season,date,pitcher,pitcher_id,throws,team,opponent,is_home,IP,K,BF,pitches,H,BB,ER,HR,opp_k_pct,opp_k_pa
2026,2026-03-29,Anthony Kay,641743,L,CWS,MIL,False,4.2,5,21,92,3,4,2,1,0.1395,86
2026,2026-04-09,Anthony Kay,641743,L,CWS,KC,False,5.2,6,24,100,3,2,0,0,0.2432,444
2026,2026-04-22,Anthony Kay,641743,L,CWS,AZ,False,3.2,1,22,92,8,3,8,2,0.2156,835
2026,2026-04-27,Anthony Kay,641743,L,CWS,LAA,True,4.0,2,22,90,7,2,4,0,0.2533,1129
2026,2026-05-03,Anthony Kay,641743,L,CWS,SD,False,5.0,5,21,86,7,1,2,2,0.2211,1194
2026,2026-05-09,Anthony Kay,641743,L,CWS,SEA,True,5.0,5,20,88,3,2,0,0,0.243,1473
2026,2026-05-14,Anthony Kay,641743,L,CWS,KC,True,6.0,4,27,97,6,2,2,0,0.2202,1612
2026,2026-05-19,Anthony Kay,641743,L,CWS,SEA,False,5.1,5,22,89,1,3,1,0,0.2381,1856
2026,2026-05-25,Anthony Kay,641743,L,CWS,MIN,True,6.0,5,24,94,5,1,1,1,0.228,2022
2026,2026-05-30,Anthony Kay,641743,L,CWS,DET,True,5.0,3,22,84,6,1,1,1,0.2289,2176
2026,2026-06-05,Anthony Kay,641743,L,CWS,PHI,False,4.0,4,21,87,7,2,6,2,0.2242,2297
2026,2026-06-12,Anthony Kay,641743,L,CWS,LAD,True,5.0,7,22,89,4,1,2,0,0.2007,2661
2025,2025-06-23,Braxton Ashcraft,677952,R,PIT,MIL,False,3.0,2,10,35,1,0,0,0,0.2168,2952
2025,2025-08-09,Braxton Ashcraft,677952,R,PIT,CIN,True,3.1,5,15,56,3,1,1,0,0.2301,4386
2025,2025-08-15,Braxton Ashcraft,677952,R,PIT,CHC,False,5.0,4,18,61,3,0,1,0,0.2028,4601
2025,2025-08-22,Braxton Ashcraft,677952,R,PIT,COL,True,5.0,6,16,65,1,1,0,0,0.2523,4700
2025,2025-08-28,Braxton Ashcraft,677952,R,PIT,STL,False,5.2,5,21,73,4,1,1,0,0.2105,5032
2025,2025-09-03,Braxton Ashcraft,677952,R,PIT,LAD,True,3.0,4,15,71,2,4,0,0,0.2207,5274
2025,2025-09-15,Braxton Ashcraft,677952,R,PIT,CHC,True,4.0,4,19,70,6,2,3,1,0.2054,5673
2025,2025-09-25,Braxton Ashcraft,677952,R,PIT,CIN,False,4.1,5,21,72,8,1,2,0,0.2321,5934
2026,2026-03-30,Braxton Ashcraft,677952,R,PIT,CIN,False,6.0,3,25,87,4,4,2,0,0.2821,117
2026,2026-04-05,Braxton Ashcraft,677952,R,PIT,BAL,True,6.0,8,21,87,4,0,1,0,0.2492,301
2026,2026-04-11,Braxton Ashcraft,677952,R,PIT,CHC,False,5.0,9,20,77,4,1,1,0,0.2209,489
2026,2026-04-16,Braxton Ashcraft,677952,R,PIT,WSH,True,5.2,7,25,90,5,2,2,0,0.2014,705
2026,2026-04-22,Braxton Ashcraft,677952,R,PIT,TEX,False,7.0,5,25,94,4,2,2,1,0.2503,875
2026,2026-04-28,Braxton Ashcraft,677952,R,PIT,STL,True,4.1,7,22,87,6,3,6,2,0.215,1079
2026,2026-05-03,Braxton Ashcraft,677952,R,PIT,CIN,True,7.2,6,27,82,4,2,0,0,0.247,1243
2026,2026-05-09,Braxton Ashcraft,677952,R,PIT,SF,False,7.0,6,26,80,6,0,1,1,0.2185,1364
2026,2026-05-15,Braxton Ashcraft,677952,R,PIT,PHI,True,6.2,5,28,100,7,0,4,1,0.2162,1656
2026,2026-05-21,Braxton Ashcraft,677952,R,PIT,STL,False,7.0,9,27,98,4,2,1,1,0.2105,1843
2026,2026-05-26,Braxton Ashcraft,677952,R,PIT,CHC,True,6.1,5,29,95,7,1,1,0,0.2107,2107
2026,2026-05-31,Braxton Ashcraft,677952,R,PIT,MIN,True,6.0,11,22,80,5,0,2,1,0.2305,2243
2026,2026-06-06,Braxton Ashcraft,677952,R,PIT,ATL,False,5.0,5,25,86,9,0,6,1,0.2054,2429
2026,2026-06-12,Braxton Ashcraft,677952,R,PIT,MIA,True,5.0,4,22,90,5,2,2,0,0.2179,2574
2024,2024-08-07,Eduardo Rodriguez,593958,L,AZ,CLE,False,5.2,1,23,65,4,2,3,2,0.1965,4142
2024,2024-08-13,Eduardo Rodriguez,593958,L,AZ,COL,True,5.0,5,22,83,6,1,3,0,0.2611,4497
2024,2024-08-20,Eduardo Rodriguez,593958,L,AZ,MIA,False,5.1,5,23,100,6,1,1,0,0.2316,4628
2024,2024-08-28,Eduardo Rodriguez,593958,L,AZ,NYM,True,5.1,5,22,89,5,1,5,1,0.2215,5065
2024,2024-09-02,Eduardo Rodriguez,593958,L,AZ,LAD,True,4.0,1,20,92,7,2,3,1,0.2179,5274
2024,2024-09-07,Eduardo Rodriguez,593958,L,AZ,HOU,False,4.0,1,23,88,7,3,4,0,0.195,5319
2024,2024-09-13,Eduardo Rodriguez,593958,L,AZ,MIL,True,5.0,7,22,90,5,3,2,1,0.2317,5571
2024,2024-09-18,Eduardo Rodriguez,593958,L,AZ,COL,False,6.1,11,25,94,5,1,2,0,0.2643,5660
